Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
2024-07-09 01:39:00,01:39:00,CNR4818490696,Success,CID995807,Auto,Barra,Harjinder Nagar,252.0,115.0,N/A,N/A,No,N/A,276,UPI,14,3.8,3.0,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-16 18:17:00,18:17:00,CNR9260452379,Canceled by Customer,CID322751,Auto,Kalyanpur,Saket Nagar,0.0,0.0,Driver asked to cancel,N/A,N/A,N/A,560,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-02 00:35:00,00:35:00,CNR5012898155,Success,CID599154,Prime Sedan,Nawabganj,Vijay Nagar,189.0,30.0,N/A,N/A,No,N/A,885,Cash,1,5.0,4.3,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-14 05:47:00,05:47:00,CNR4635023538,Success,CID597727,eBike,Juhi,Gumti No 5,168.0,140.0,N/A,N/A,No,N/A,492,UPI,34,3.7,3.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-22 12:21:00,12:21:00,CNR3240740168,Success,CID468675,Mini,Ashok Nagar,Govind Nagar,168.0,100.0,N/A,N/A,No,N/A,155,Credit Card,32,3.6,4.3,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-12 21:10:00,21:10:00,CNR9405124983,Driver Not Found,CID149731,Prime Sedan,Mall Road,Nawabganj,0.0,0.0,N/A,N/A,N/A,N/A,190,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-08 09:22:00,09:22:00,CNR3010395750,Success,CID610251,Prime Plus,Nawabganj,Vijay Nagar,196.0,145.0,N/A,N/A,No,N/A,256,UPI,32,4.1,3.5,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-03 11:30:00,11:30:00,CNR2387655335,Success,CID340029,Mini,Juhi,Kidwai Nagar,273.0,80.0,N/A,N/A,No,N/A,320,UPI,29,3.6,4.5,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-15 01:32:00,01:32:00,CNR9629101809,Success,CID963254,Prime SUV,Sisamau,Gumti No 5,112.0,95.0,N/A,N/A,No,N/A,303,UPI,43,4.3,4.4,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-16 08:58:00,08:58:00,CNR8317047809,Canceled by Driver,CID969802,Mini,Shastri Nagar,Chunniganj,0.0,0.0,N/A,Customer was coughing/sick,N/A,N/A,681,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-25 00:54:00,00:54:00,CNR3703050984,Canceled by Driver,CID806714,Bike,Saket Nagar,Harjinder Nagar,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,456,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-01 21:05:00,21:05:00,CNR9578391900,Canceled by Driver,CID160543,eBike,Gumti No 5,Juhi,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,496,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-17 19:19:00,19:19:00,CNR9404849281,Canceled by Driver,CID425034,Prime SUV,Govind Nagar,Swaroop Nagar,0.0,0.0,N/A,Customer related issue,N/A,N/A,306,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-21 01:34:00,01:34:00,CNR2250962017,Success,CID589405,Auto,Kalyanpur,Mall Road,133.0,65.0,N/A,N/A,No,N/A,812,Cash,14,5.0,3.6,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-05 05:24:00,05:24:00,CNR4276983707,Success,CID540564,Prime Plus,Harjinder Nagar,Shastri Nagar,161.0,25.0,N/A,N/A,No,N/A,103,Cash,40,3.7,4.6,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-05 10:33:00,10:33:00,CNR7724057143,Success,CID500031,eBike,Chunniganj,Ratan Lal Nagar,189.0,30.0,N/A,N/A,No,N/A,2031,UPI,41,4.1,4.2,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-03 11:42:00,11:42:00,CNR2379321824,Canceled by Driver,CID218284,Prime SUV,Saket Nagar,Nawabganj,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,334,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-02 09:26:00,09:26:00,CNR6261876151,Canceled by Customer,CID798390,Bike,Parade,Juhi,0.0,0.0,AC is Not working,N/A,N/A,N/A,2542,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-08 23:57:00,23:57:00,CNR8643128953,Canceled by Driver,CID458632,Bike,Naubasta,Shastri Nagar,0.0,0.0,N/A,More than permitted people in there,N/A,N/A,535,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-16 11:04:00,11:04:00,CNR3274686129,Canceled by Customer,CID925272,Prime Plus,Lakhanpur,Parade,0.0,0.0,Driver asked to cancel,N/A,N/A,N/A,410,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-29 04:20:00,04:20:00,CNR4957341521,Success,CID284939,eBike,Govind Nagar,Govind Nagar,182.0,60.0,N/A,N/A,No,N/A,462,UPI,30,3.3,4.8,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-15 08:43:00,08:43:00,CNR9051613364,Success,CID273972,Prime SUV,Naubasta,Nawabganj,147.0,130.0,N/A,N/A,No,N/A,779,Cash,38,5.0,3.9,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-04 10:35:00,10:35:00,CNR1600399935,Success,CID523787,Auto,Birhana Road,Barra,56.0,55.0,N/A,N/A,No,N/A,332,UPI,19,4.2,3.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-22 01:18:00,01:18:00,CNR2094119358,Success,CID262537,Mini,Gumti No 5,Lakhanpur,56.0,100.0,N/A,N/A,No,N/A,394,UPI,40,4.2,4.4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-03 17:38:00,17:38:00,CNR6581549538,Driver Not Found,CID609955,Auto,Juhi,Chunniganj,0.0,0.0,N/A,N/A,N/A,N/A,204,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-13 12:57:00,12:57:00,CNR7742539248,Canceled by Driver,CID861958,eBike,Gumti No 5,Shastri Nagar,0.0,0.0,N/A,Customer was coughing/sick,N/A,N/A,304,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-30 05:15:00,05:15:00,CNR1079446070,Success,CID969919,Prime SUV,Kalyanpur,Chunniganj,84.0,75.0,N/A,N/A,No,N/A,2070,Cash,10,3.9,4.1,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-12 22:20:00,22:20:00,CNR8581433145,Canceled by Driver,CID724144,Prime SUV,Phool Bagh,Colonelganj,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,342,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-06 22:36:00,22:36:00,CNR7725362829,Success,CID658656,Bike,Naubasta,Shastri Nagar,245.0,25.0,N/A,N/A,No,N/A,871,UPI,24,3.3,3.5,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-11 15:49:00,15:49:00,CNR5108560220,Canceled by Customer,CID933655,Prime Plus,Ashok Nagar,Kakadeo,0.0,0.0,AC is Not working,N/A,N/A,N/A,474,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-17 00:03:00,00:03:00,CNR9503537392,Success,CID823312,Mini,Kakadeo,Vijay Nagar,42.0,125.0,N/A,N/A,No,N/A,453,Cash,6,4.6,3.1,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-28 23:56:00,23:56:00,CNR3323636923,Success,CID746772,Auto,Arya Nagar,Kakadeo,126.0,45.0,N/A,N/A,No,N/A,632,Cash,10,4.1,3.9,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-22 04:45:00,04:45:00,CNR7315989506,Canceled by Driver,CID870382,Bike,Gumti No 5,Lakhanpur,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,273,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-15 20:01:00,20:01:00,CNR1394998414,Success,CID644069,Prime SUV,Arya Nagar,Rail Bazaar,126.0,135.0,N/A,N/A,No,N/A,442,UPI,2,4.7,3.8,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-15 15:20:00,15:20:00,CNR9967963579,Success,CID538772,Mini,Civil Lines,Nawabganj,210.0,75.0,N/A,N/A,No,N/A,184,Cash,43,3.7,3.4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-03 15:39:00,15:39:00,CNR2525693882,Success,CID910877,Auto,Juhi,Colonelganj,217.0,50.0,N/A,N/A,No,N/A,1127,UPI,3,4.0,3.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-09 01:31:00,01:31:00,CNR9838114312,Success,CID333330,eBike,Gumti No 5,Phool Bagh,126.0,85.0,N/A,N/A,No,N/A,395,Cash,37,4.1,3.6,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-28 22:51:00,22:51:00,CNR4866825141,Success,CID410239,Mini,Shastri Nagar,Nawabganj,168.0,85.0,N/A,N/A,No,N/A,514,UPI,18,3.5,4.3,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-02 17:05:00,17:05:00,CNR9500064939,Success,CID445020,Prime Plus,Chunniganj,Arya Nagar,266.0,130.0,N/A,N/A,No,N/A,310,Cash,20,3.6,4.3,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-22 03:35:00,03:35:00,CNR2079596932,Canceled by Customer,CID543037,Prime Plus,Chunniganj,Kalyanpur,0.0,0.0,Driver is not moving towards pickup location,N/A,N/A,N/A,320,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-25 05:19:00,05:19:00,CNR9173324446,Canceled by Driver,CID666882,Bike,Harjinder Nagar,Ashok Nagar,0.0,0.0,N/A,Customer related issue,N/A,N/A,330,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-02 10:00:00,10:00:00,CNR3291976622,Success,CID399949,Mini,Rail Bazaar,Colonelganj,112.0,115.0,N/A,N/A,No,N/A,254,UPI,44,3.1,4.5,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-30 18:56:00,18:56:00,CNR4743285269,Canceled by Customer,CID151285,Bike,Phool Bagh,Ashok Nagar,0.0,0.0,AC is Not working,N/A,N/A,N/A,180,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-10 07:38:00,07:38:00,CNR9703151919,Canceled by Driver,CID309604,eBike,Chunniganj,Colonelganj,0.0,0.0,N/A,Customer related issue,N/A,N/A,1898,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-14 10:08:00,10:08:00,CNR6636995039,Canceled by Driver,CID654549,Mini,Tilak Nagar,Harjinder Nagar,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,1709,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-09 01:47:00,01:47:00,CNR6657249103,Canceled by Driver,CID481035,Auto,Gumti No 5,Tilak Nagar,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,896,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-14 18:40:00,18:40:00,CNR6157742384,Success,CID436519,eBike,Tilak Nagar,Kalyanpur,280.0,55.0,N/A,N/A,No,N/A,272,Cash,15,4.7,3.6,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-26 12:17:00,12:17:00,CNR3336530086,Success,CID959998,Prime Sedan,Govind Nagar,Lakhanpur,154.0,120.0,N/A,N/A,No,N/A,472,Cash,34,5.0,3.6,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-02 15:00:00,15:00:00,CNR8782298655,Canceled by Customer,CID581706,Mini,Nawabganj,Arya Nagar,0.0,0.0,Driver is not moving towards pickup location,N/A,N/A,N/A,2883,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-06 08:08:00,08:08:00,CNR7589134152,Success,CID570610,Prime Sedan,Swaroop Nagar,Barra,91.0,80.0,N/A,N/A,No,N/A,979,Cash,40,3.5,4.3,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-29 19:32:00,19:32:00,CNR6157830638,Driver Not Found,CID406912,Prime Sedan,Panki,Govind Nagar,0.0,0.0,N/A,N/A,N/A,N/A,293,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-04 06:35:00,06:35:00,CNR2299729701,Success,CID779800,Bike,Shastri Nagar,Krishna Nagar,238.0,110.0,N/A,N/A,No,N/A,1670,UPI,8,4.3,3.3,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-25 04:14:00,04:14:00,CNR8653182934,Success,CID415078,Prime Sedan,Kidwai Nagar,Sisamau,168.0,145.0,N/A,N/A,No,N/A,711,UPI,18,3.3,4.8,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-30 06:34:00,06:34:00,CNR6298044239,Success,CID327645,eBike,Kidwai Nagar,Arya Nagar,287.0,40.0,N/A,N/A,No,N/A,191,Cash,43,4.5,4.8,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-23 05:22:00,05:22:00,CNR8502048321,Success,CID326092,Prime SUV,Vijay Nagar,Barra,231.0,35.0,N/A,N/A,No,N/A,692,UPI,43,3.1,4.3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-07 16:30:00,16:30:00,CNR9640315014,Success,CID925123,Auto,Mall Road,Harjinder Nagar,280.0,105.0,N/A,N/A,Yes,Vehicle Breakdown,239,Cash,5,3.4,4.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-24 18:23:00,18:23:00,CNR3409178630,Success,CID827966,Prime Plus,Tilak Nagar,Parade,126.0,60.0,N/A,N/A,No,N/A,470,UPI,40,3.6,3.0,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-06 07:49:00,07:49:00,CNR5095453682,Success,CID485195,Auto,Kakadeo,Chunniganj,63.0,80.0,N/A,N/A,No,N/A,846,Cash,14,3.3,4.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-03 20:47:00,20:47:00,CNR3871036513,Canceled by Driver,CID512920,eBike,Nawabganj,Birhana Road,0.0,0.0,N/A,Customer related issue,N/A,N/A,554,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-15 11:41:00,11:41:00,CNR7161336161,Driver Not Found,CID882007,Bike,Lakhanpur,Harjinder Nagar,0.0,0.0,N/A,N/A,N/A,N/A,173,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-08 10:30:00,10:30:00,CNR9612475758,Canceled by Driver,CID906580,Prime Sedan,Shastri Nagar,Kidwai Nagar,0.0,0.0,N/A,More than permitted people in there,N/A,N/A,152,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-02 17:19:00,17:19:00,CNR4480328835,Success,CID111921,Prime Plus,Harjinder Nagar,Govind Nagar,294.0,45.0,N/A,N/A,Yes,Vehicle Breakdown,1078,Cash,23,3.3,3.3,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-19 15:17:00,15:17:00,CNR3239892073,Success,CID802309,Bike,Kidwai Nagar,Ashok Nagar,140.0,140.0,N/A,N/A,No,N/A,339,UPI,45,3.7,4.7,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-06 07:39:00,07:39:00,CNR1257466611,Success,CID997713,Prime Sedan,Lakhanpur,Juhi,238.0,30.0,N/A,N/A,No,N/A,250,Cash,3,4.8,4.9,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-03 08:48:00,08:48:00,CNR8521640267,Success,CID319842,Bike,Gumti No 5,Govind Nagar,168.0,95.0,N/A,N/A,No,N/A,769,Cash,49,3.3,3.4,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-28 12:17:00,12:17:00,CNR2070858952,Success,CID156140,eBike,Saket Nagar,Lakhanpur,84.0,55.0,N/A,N/A,No,N/A,206,Cash,34,4.7,4.0,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-07 12:48:00,12:48:00,CNR7826889528,Success,CID201118,Bike,Saket Nagar,Chunniganj,238.0,80.0,N/A,N/A,Yes,Customer Demand,420,UPI,3,4.7,4.8,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-17 02:00:00,02:00:00,CNR6617565931,Success,CID773656,Mini,Panki,Saket Nagar,210.0,130.0,N/A,N/A,No,N/A,419,Cash,48,4.3,4.5,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-08 14:25:00,14:25:00,CNR5652146201,Success,CID775131,Prime SUV,Gumti No 5,Mall Road,231.0,45.0,N/A,N/A,No,N/A,425,Cash,27,3.2,3.1,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-12 08:29:00,08:29:00,CNR6465009551,Success,CID534488,Prime SUV,Arya Nagar,Ratan Lal Nagar,231.0,55.0,N/A,N/A,Yes,Vehicle Breakdown,281,Cash,16,4.1,4.9,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-08 07:46:00,07:46:00,CNR7329654011,Success,CID504900,Prime Sedan,Gumti No 5,Birhana Road,133.0,110.0,N/A,N/A,No,N/A,528,Cash,29,4.9,4.1,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-04 21:53:00,21:53:00,CNR8864272921,Success,CID738381,eBike,Harjinder Nagar,Colonelganj,42.0,30.0,N/A,N/A,No,N/A,299,Cash,27,3.6,3.8,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-23 03:44:00,03:44:00,CNR9908141927,Success,CID416892,Prime Sedan,Ashok Nagar,Parade,35.0,55.0,N/A,N/A,No,N/A,142,UPI,10,4.9,3.2,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-08 07:39:00,07:39:00,CNR7243246801,Success,CID581511,Prime Sedan,Sisamau,Arya Nagar,147.0,105.0,N/A,N/A,No,N/A,513,Cash,42,3.2,3.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-28 23:04:00,23:04:00,CNR5337568898,Success,CID960247,Mini,Krishna Nagar,Arya Nagar,175.0,135.0,N/A,N/A,No,N/A,248,UPI,10,4.0,3.8,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-29 20:27:00,20:27:00,CNR3775922700,Canceled by Driver,CID183928,eBike,Civil Lines,Mall Road,0.0,0.0,N/A,Customer related issue,N/A,N/A,122,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-22 20:57:00,20:57:00,CNR9227299082,Driver Not Found,CID419600,Bike,Ratan Lal Nagar,Colonelganj,0.0,0.0,N/A,N/A,N/A,N/A,359,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-22 16:38:00,16:38:00,CNR2904644602,Success,CID125869,eBike,Vijay Nagar,Phool Bagh,231.0,110.0,N/A,N/A,No,N/A,422,Cash,26,4.6,4.8,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-29 11:45:00,11:45:00,CNR8684063338,Success,CID191096,eBike,Phool Bagh,Civil Lines,287.0,80.0,N/A,N/A,No,N/A,1403,Cash,10,4.3,3.2,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-25 18:04:00,18:04:00,CNR4620865111,Success,CID180908,Auto,Panki,Sisamau,63.0,90.0,N/A,N/A,No,N/A,221,Cash,6,4.9,3.4,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-06 07:47:00,07:47:00,CNR8841426475,Success,CID516280,eBike,Lakhanpur,Panki,49.0,115.0,N/A,N/A,No,N/A,186,UPI,8,4.0,4.9,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-04 14:33:00,14:33:00,CNR9569739691,Success,CID276319,Mini,Kidwai Nagar,Chunniganj,91.0,90.0,N/A,N/A,No,N/A,405,Cash,42,3.8,3.3,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-04 15:35:00,15:35:00,CNR9995097171,Success,CID110311,Prime SUV,Mall Road,Arya Nagar,161.0,135.0,N/A,N/A,Yes,Vehicle Breakdown,478,UPI,5,4.1,4.5,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-19 05:33:00,05:33:00,CNR2814516404,Success,CID186636,Mini,Sisamau,Ashok Nagar,287.0,50.0,N/A,N/A,No,N/A,199,Cash,16,4.8,3.0,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-16 19:05:00,19:05:00,CNR5301644284,Canceled by Driver,CID645759,Auto,Swaroop Nagar,Govind Nagar,0.0,0.0,N/A,Customer was coughing/sick,N/A,N/A,855,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-22 07:05:00,07:05:00,CNR8084000488,Canceled by Customer,CID352019,Prime SUV,Saket Nagar,Nawabganj,0.0,0.0,AC is Not working,N/A,N/A,N/A,429,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-28 00:57:00,00:57:00,CNR5815010795,Success,CID669406,Prime SUV,Kalyanpur,Barra,196.0,50.0,N/A,N/A,Yes,Customer Demand,102,UPI,16,3.6,3.5,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-07 03:59:00,03:59:00,CNR1862342491,Canceled by Driver,CID257525,Prime SUV,Birhana Road,Vijay Nagar,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,771,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-06 16:03:00,16:03:00,CNR2162091754,Success,CID788775,Mini,Kakadeo,Shastri Nagar,84.0,65.0,N/A,N/A,No,N/A,492,UPI,48,4.1,4.7,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-14 00:09:00,00:09:00,CNR9219213041,Canceled by Customer,CID731129,Prime Sedan,Lakhanpur,Birhana Road,0.0,0.0,Change of plans,N/A,N/A,N/A,674,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-09 21:21:00,21:21:00,CNR5291360059,Canceled by Driver,CID457276,Prime Sedan,Nawabganj,Krishna Nagar,0.0,0.0,N/A,Customer was coughing/sick,N/A,N/A,278,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-16 09:55:00,09:55:00,CNR2700446670,Canceled by Driver,CID925011,Prime Plus,Sisamau,Saket Nagar,0.0,0.0,N/A,Customer related issue,N/A,N/A,374,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-14 17:32:00,17:32:00,CNR2339417999,Success,CID419177,Bike,Tilak Nagar,Phool Bagh,126.0,95.0,N/A,N/A,No,N/A,868,Cash,29,3.7,4.0,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-26 16:31:00,16:31:00,CNR6005766214,Success,CID858576,Prime Sedan,Panki,Tilak Nagar,245.0,125.0,N/A,N/A,No,N/A,374,Credit Card,23,3.7,4.6,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-17 06:04:00,06:04:00,CNR1331120741,Success,CID190565,Auto,Mall Road,Swaroop Nagar,280.0,55.0,N/A,N/A,No,N/A,1181,Cash,5,4.0,4.9,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-28 09:59:00,09:59:00,CNR6198141407,Canceled by Driver,CID236989,Prime SUV,Saket Nagar,Naubasta,0.0,0.0,N/A,Personal & Car related issue,N/A,N/A,102,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-16 16:04:00,16:04:00,CNR8705137963,Success,CID925665,Auto,Phool Bagh,Nawabganj,147.0,70.0,N/A,N/A,No,N/A,727,UPI,12,3.1,4.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
